"Ret.Time","Area","CAS","Compound","Quality"
6.333,38268451,"004325-85-3","Tris(trimethylsilyl)borate","93"
8.663,1725418173,"017596-96-2","Propanoic acid, 2-[(trimethylsilyl)oxy]-, trimethylsilyl ester","91"
9.872,380686820,"027844-07-1","l-Alanine, N-(trimethylsilyl)-, trimethylsilyl ester","96"
13.217,62020140,"007364-44-5","L-Valine, N-(trimethylsilyl)-, trimethylsilyl ester","96"
14.904,3244585666,"010497-05-9","Silanol, trimethyl-, phosphate (3:1)","95"
14.998,113875028,"006787-10-6","Glycerol, tris(trimethylsilyl) ether","93"
15.084,19942124,"010497-05-9","Silanol, trimethyl-, phosphate (3:1)","98"
15.52,100192628,"007483-92-3","L-Isoleucine, N-(trimethylsilyl)-,trimethylsilyl ester","90"
15.854,405675973,"005630-82-0","Glycine, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","91"
16.073,41380192,"040309-57-7","Butanedioic acid, bis(trimethylsilyl) ester","98"
17.357,84753200,"064625-17-8","Serine, N,O-bis(trimethylsilyl)-,trimethylsilyl ester","91"
17.93,30072994,"072785-19-4","6-Oxo-3-methoxy-N-methyl-4,5,7,8-diepoxymorphine","90"
18.044,143119785,"007537-02-2","N,O,O-Tris(trimethylsilyl)-L-threonine","94"
21.198,87690040,"018547-29-0","Butane, 1,2,3,4-tetrakis[(trimethylsilyl)oxy]-","93"
21.593,49051699,"055268-53-6","L-Aspartic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester","98"
21.771,729837533,"030274-77-2","L-Proline, 5-oxo-1-(trimethylsilyl)-, trimethylsilyl ester","95"
22.486,53431673,"007364-50-3","L-Cysteine, N,S-bis(trimethylsilyl)-, trimethylsilyl ester","86"
22.707,350450722,"055012-82-3","2-Propenoic acid, 3-phenyl-, trimethylsilyl ester, (E)-","99"
23.708,37699760,"1000333-25-8","L-Asparagine, N2-trimethylsilyl-,trimethylsilyl ester","76"
23.995,263331640,"015985-07-6","Glutamic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester, L-","99"
24.276,50146611,"002899-52-7","N,O-Bis-(trimethylsilyl)phenylalanine","91"
25.33,66770819,"055649-62-2","L-Asparagine, N,N2-bis(trimethylsilyl)-, trimethylsilyl ester","99"
26.988,29734712,"1000333-14-1","DL-Ornithine,N',N'-bis(trimethylsilyl)-, trimethylsilyl ester","99"
27.152,124591784,"031038-11-6","Phosphoric acid, bis(trimethylsilyl) 2,3-bis[(trimethylsilyl)oxy]propyl ester","94"
28.31,59694136,"055556-70-2","L-Ornithine, N2,N5,N5-tris(trimethylsilyl)-, trimethylsilyl ester","98"
28.395,134119819,"014330-97-3","1,2,3-Propanetricarboxylic acid, 2-[(trimethylsilyl)oxy]-, tris(trimethylsilyl) ester","91"
29.281,460441915,"056196-14-6","D-Fructose, 1,3,4,5,6-pentakis-O-(trimethylsilyl)-, O-methyloxime","94"
29.515,314220661,"1000380-38-8","D-(+)-Xylose, tetrakis(trimethylsilyl) ether, trimethylsilyloxime (isomer 1)","91"
29.83,2150528503,"128705-67-9","d-Mannose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1Z)-","91"
30.005,41835706,"055528-73-9","Altronic acid, 2,3,5,6-tetrakis-O-(trimethylsilyl)-, lactone","72"
30.17,477482759,"130405-10-6","d-Glucose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1E)-","91"
30.446,273916985,"128705-71-5","d-Galactose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme,(1Z)-","91"
31.007,69120227,"051220-73-6","L-Tyrosine, N,O-bis(trimethylsilyl)-, trimethylsilyl ester","94"
31.798,32206368,"002775-90-8","beta.-D-Glucopyranose, 1,2,3,4,6-pentakis-O-(trimethylsilyl)-","89"
33.212,105447113,"055520-89-3","Hexadecanoic acid, trimethylsilylester","99"
33.527,998656546,"002582-79-8","Myo-Inositol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-","90"
35.291,26944016,"1000332-00-2","4-Chloro-N-(4-chloro-2-phenoxyphenyl)benzenesulfonamide tms","93"
36.354,61886425,"096851-47-7","trans-9-Octadecenoic acid, trimethylsilyl ester","99"
36.842,89165653,"018748-91-9","Octadecanoic acid, trimethylsilylester","99"
50.978,610264762,"001856-05-9","Cholesterol trimethylsilyl ether","99"
