"Ret.Time","Area","CAS","Compound","Quality"
8.569,1590214107,"017596-96-2","Propanoic acid, 2-[(trimethylsilyl)oxy]-, trimethylsilyl ester","91"
9.805,439860104,"027844-07-1","l-Alanine, N-(trimethylsilyl)-, trimethylsilyl ester","96"
13.185,61392454,"1000373-29-6","2-(N-Isopropyl-N-(trimethylsilyl)amino)ethanol trimethylsilyl ether","72"
14.872,3014847201,"010497-05-9","Silanol, trimethyl-, phosphate (3:1)","95"
14.981,47204510,"006787-10-6","Glycerol, tris(trimethylsilyl) ether","93"
15.503,95289482,"007483-92-3","L-Isoleucine, N-(trimethylsilyl)-,trimethylsilyl ester","90"
15.641,329937778,"007364-47-8","L-Proline, 1-(trimethylsilyl)-, trimethylsilyl ester","96"
15.841,404318419,"005630-82-0","Glycine, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","91"
16.06,34065437,"040309-57-7","Butanedioic acid, bis(trimethylsilyl) ester","98"
17.35,99574158,"064625-17-8","Serine, N,O-bis(trimethylsilyl)-,trimethylsilyl ester","91"
18.041,163437048,"007537-02-2","N,O,O-Tris(trimethylsilyl)-L-threonine","94"
20.454,31556150,"070125-41-6","Trimethylsiloxy(trimethylsilyl)proline","90"
21.196,81570021,"018547-29-0","Butane, 1,2,3,4-tetrakis[(trimethylsilyl)oxy]-","93"
21.592,42403809,"055268-53-6","L-Aspartic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester","99"
21.763,721507074,"030274-77-2","L-Proline, 5-oxo-1-(trimethylsilyl)-, trimethylsilyl ester","95"
22.485,56810611,"1000153-02-1","Cytein, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","87"
22.702,293947391,"055012-82-3","2-Propenoic acid, 3-phenyl-, trimethylsilyl ester, (E)-","99"
23.995,310545583,"015985-07-6","Glutamic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester, L-","99"
24.274,56750279,"002899-52-7","N,O-Bis-(trimethylsilyl)phenylalanine","91"
25.333,87435171,"055649-62-2","L-Asparagine, N,N2-bis(trimethylsilyl)-, trimethylsilyl ester","99"
27.149,151951273,"031038-11-6","Phosphoric acid, bis(trimethylsilyl) 2,3-bis[(trimethylsilyl)oxy]propyl ester","93"
27.566,40896916,"055334-92-4","Phosphoric acid, 2-[bis(trimethylsilyl)amino]ethyl bis(trimethylsilyl) ester","70"
28.303,53827164,"1000333-13-9","DL-Ornithine, N,N,N'-tris(trimethylsilyl)-, trimethylsilyl ester","99"
28.394,144384557,"014330-97-3","1,2,3-Propanetricarboxylic acid, 2-[(trimethylsilyl)oxy]-, tris(trimethylsilyl) ester","93"
29.277,362553858,"056196-14-6","D-Fructose, 1,3,4,5,6-pentakis-O-(trimethylsilyl)-, O-methyloxime","94"
29.513,252222997,"1000380-17-9","D-(-)-Tagatose, pentakis(trimethylsilyl) ether, methyloxime (syn)","91"
29.821,1831319252,"128705-61-3","d-Mannose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1E)-","91"
30.163,382669820,"128705-73-7","d-Glucose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1Z)-","91"
30.444,228403964,"128705-71-5","d-Galactose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme,(1Z)-","91"
31.007,72332125,"051220-73-6","L-Tyrosine, N,O-bis(trimethylsilyl)-, trimethylsilyl ester","94"
31.799,10061191,"002775-90-8","beta.-D-Glucopyranose, 1,2,3,4,6-pentakis-O-(trimethylsilyl)-","86"
33.206,110457081,"055520-89-3","Hexadecanoic acid, trimethylsilylester","99"
33.522,929433904,"002582-79-8","Myo-Inositol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-","90"
36.355,62835748,"021556-26-3","Oleic acid, trimethylsilyl ester","99"
36.477,8428993,"1000333-58-8","cis-13-Octadecenoic acid, trimethylsilyl ester","99"
36.84,83827098,"018748-91-9","Octadecanoic acid, trimethylsilylester","99"
50.974,615687490,"001856-05-9","Cholesterol trimethylsilyl ether","99"
