"Ret.Time","Area","CAS","Compound","Quality"
8.585,1984212061,"017596-96-2","Propanoic acid, 2-[(trimethylsilyl)oxy]-, trimethylsilyl ester","91"
9.82,702698616,"027844-07-1","l-Alanine, N-(trimethylsilyl)-, trimethylsilyl ester","96"
10.409,26575978,"007364-42-3","Glycine, N-(trimethylsilyl)-, trimethylsilyl ester","94"
12.071,40475315,"1000333-26-2","l-Proline, trimethylsilyl ester","80"
13.185,75695849,"007364-44-5","L-Valine, N-(trimethylsilyl)-, trimethylsilyl ester","70"
14.799,1484355972,"010497-05-9","Silanol, trimethyl-, phosphate (3:1)","70"
14.979,57494497,"006787-10-6","Glycerol, tris(trimethylsilyl) ether","81"
15.508,119416087,"007483-92-3","L-Isoleucine, N-(trimethylsilyl)-,trimethylsilyl ester","90"
15.644,425304280,"007364-47-8","L-Proline, 1-(trimethylsilyl)-, trimethylsilyl ester","70"
15.848,596010713,"005630-82-0","Glycine, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","91"
16.06,39926122,"040309-57-7","Butanedioic acid, bis(trimethylsilyl) ester","98"
17.35,132981824,"064625-17-8","Serine, N,O-bis(trimethylsilyl)-,trimethylsilyl ester","91"
18.043,227102156,"007537-02-2","N,O,O-Tris(trimethylsilyl)-L-threonine","93"
21.195,78916688,"018547-29-0","Butane, 1,2,3,4-tetrakis[(trimethylsilyl)oxy]-","94"
21.593,51484190,"055268-53-6","L-Aspartic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester","99"
21.771,865417261,"030274-77-2","L-Proline, 5-oxo-1-(trimethylsilyl)-, trimethylsilyl ester","95"
22.484,64622539,"1000153-02-1","Cytein, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","83"
22.699,289353630,"055012-82-3","2-Propenoic acid, 3-phenyl-, trimethylsilyl ester, (E)-","99"
23.705,86787936,"1000333-25-8","L-Asparagine, N2-trimethylsilyl-,trimethylsilyl ester","76"
23.996,368548934,"015985-07-6","Glutamic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester, L-","99"
24.274,65503546,"007364-51-4","N,O-Bis(trimethylsilyl)-L-phenylalanine","91"
25.332,118355540,"055649-62-2","L-Asparagine, N,N2-bis(trimethylsilyl)-, trimethylsilyl ester","99"
26.99,27406932,"1000333-14-1","DL-Ornithine,N',N'-bis(trimethylsilyl)-, trimethylsilyl ester","99"
27.144,222593274,"031038-11-6","Phosphoric acid, bis(trimethylsilyl) 2,3-bis[(trimethylsilyl)oxy]propyl ester","95"
28.301,67801396,"055556-70-2","L-Ornithine, N2,N5,N5-tris(trimethylsilyl)-, trimethylsilyl ester","99"
28.394,141496480,"014330-97-3","1,2,3-Propanetricarboxylic acid, 2-[(trimethylsilyl)oxy]-, tris(trimethylsilyl) ester","93"
29.28,404106172,"056196-14-6","D-Fructose, 1,3,4,5,6-pentakis-O-(trimethylsilyl)-, O-methyloxime","94"
29.514,278836243,"1000380-35-6","D-(-)-Fructose, pentakis(trimethylsilyl) ether, benzyloxime (isomer2)","91"
29.825,1951229412,"1000380-18-7","D-(+)-Talose, pentakis(trimethylsilyl) ether, methyloxime (syn)","91"
30.167,427760569,"120850-88-6","Galactose oxime hexakis(trimethylsilyl)","93"
30.445,255025074,"014199-80-5","Trimethylsilyl ether of glucitol","91"
31.01,94025187,"051220-73-6","L-Tyrosine, N,O-bis(trimethylsilyl)-, trimethylsilyl ester","94"
31.801,24644614,"017851-53-5","1,2-Benzenedicarboxylic acid, butyl 2-methylpropyl ester","86"
33.209,113895143,"055520-89-3","Hexadecanoic acid, trimethylsilylester","99"
33.525,1104933964,"002582-79-8","Myo-Inositol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-","90"
35.289,32434420,"1000115-16-5","Cyclopentane, 2-methyl-1,4-bis[(trimethylsilyl)oxy]-3-(2-propenyl)-","80"
36.36,89054727,"096851-47-7","trans-9-Octadecenoic acid, trimethylsilyl ester","99"
36.475,27099039,"1000333-56-0","11-trans-Octadecenoic acid, trimethylsilyl ester","99"
36.841,102713620,"018748-91-9","Octadecanoic acid, trimethylsilylester","99"
39.221,16614131,"000301-02-0","9-Octadecenamide, (Z)-","93"
50.984,758369094,"001856-05-9","Cholesterol trimethylsilyl ether","99"
