"Ret.Time","Area","CAS","Compound","Quality"
6.273,17011508,"004325-85-3","Tris(trimethylsilyl)borate","90"
8.571,1766486184,"017596-96-2","Propanoic acid, 2-[(trimethylsilyl)oxy]-, trimethylsilyl ester","91"
9.799,346887326,"027844-07-1","l-Alanine, N-(trimethylsilyl)-, trimethylsilyl ester","96"
13.181,60911626,"007364-44-5","L-Valine, N-(trimethylsilyl)-, trimethylsilyl ester","97"
14.86,1650535581,"010497-05-9","Silanol, trimethyl-, phosphate (3:1)","90"
14.979,104294525,"006787-10-6","Glycerol, tris(trimethylsilyl) ether","95"
15.499,86926308,"007483-92-3","L-Isoleucine, N-(trimethylsilyl)-,trimethylsilyl ester","90"
15.631,203274030,"007364-47-8","L-Proline, 1-(trimethylsilyl)-, trimethylsilyl ester","92"
15.83,254655896,"005630-82-0","Glycine, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","91"
16.056,42536304,"040309-57-7","Butanedioic acid, bis(trimethylsilyl) ester","98"
18.032,106249259,"007537-02-2","N,O,O-Tris(trimethylsilyl)-L-threonine","91"
21.196,108650548,"018547-29-0","Butane, 1,2,3,4-tetrakis[(trimethylsilyl)oxy]-","93"
21.584,51078707,"055268-53-6","L-Aspartic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester","99"
21.764,686024092,"030274-77-2","L-Proline, 5-oxo-1-(trimethylsilyl)-, trimethylsilyl ester","97"
22.696,257967811,"055012-82-3","2-Propenoic acid, 3-phenyl-, trimethylsilyl ester, (E)-","99"
23.989,248980610,"015985-07-6","Glutamic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester, L-","99"
24.266,65705442,"007364-51-4","N,O-Bis(trimethylsilyl)-L-phenylalanine","91"
25.323,47916804,"055649-62-2","L-Asparagine, N,N2-bis(trimethylsilyl)-, trimethylsilyl ester","99"
27.137,97762744,"031038-11-6","Phosphoric acid, bis(trimethylsilyl) 2,3-bis[(trimethylsilyl)oxy]propyl ester","95"
27.557,31419261,"055334-92-4","Phosphoric acid, 2-[bis(trimethylsilyl)amino]ethyl bis(trimethylsilyl) ester","70"
28.303,73381148,"055556-70-2","L-Ornithine, N2,N5,N5-tris(trimethylsilyl)-, trimethylsilyl ester","99"
28.393,129662239,"014330-97-3","1,2,3-Propanetricarboxylic acid, 2-[(trimethylsilyl)oxy]-, tris(trimethylsilyl) ester","93"
29.277,307229041,"056196-14-6","D-Fructose, 1,3,4,5,6-pentakis-O-(trimethylsilyl)-, O-methyloxime","94"
29.507,208431042,"1000380-19-0","D-(-)-Fructose, pentakis(trimethylsilyl) ether, methyloxime (syn)","91"
29.82,1810186152,"128705-61-3","d-Mannose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1E)-","91"
30.165,343718809,"128705-73-7","d-Glucose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1Z)-","91"
30.445,260075685,"128705-71-5","d-Galactose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme,(1Z)-","91"
30.999,68517239,"007415-19-2","N,O,O'-Tris-(trimethylsilyl)tyrosine","91"
33.209,161729632,"055520-89-3","Hexadecanoic acid, trimethylsilylester","99"
33.52,789626898,"002582-79-8","Myo-Inositol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-","90"
35.287,37990305,"020997-50-6","Thiocyanic acid, 5.alpha.-cholestan-3.beta.-yl ester","91"
36.35,73364508,"096851-47-7","trans-9-Octadecenoic acid, trimethylsilyl ester","99"
36.842,85669069,"018748-91-9","Octadecanoic acid, trimethylsilylester","99"
43.063,21827678,"1000380-18-2","DL-Arabinose, tetrakis(trimethylsilyl) ether, methyloxime","86"
44.983,30502457,"025138-28-7","Arabinitol, pentakis-O-(trimethylsilyl)-","91"
45.261,41706774,"025138-28-7","Arabinitol, pentakis-O-(trimethylsilyl)-","91"
50.973,611915587,"001856-05-9","Cholesterol trimethylsilyl ether","99"
