"Ret.Time","Area","CAS","Compound","Quality"
6.292,29251852,"004325-85-3","Tris(trimethylsilyl)borate","90"
8.566,818297450,"017596-96-2","Propanoic acid, 2-[(trimethylsilyl)oxy]-, trimethylsilyl ester","91"
9.804,134615259,"027844-07-1","l-Alanine, N-(trimethylsilyl)-, trimethylsilyl ester","96"
11.461,22280355,"000141-63-9","Pentasiloxane, dodecamethyl-","95"
13.185,32525005,"1000373-29-6","2-(N-Isopropyl-N-(trimethylsilyl)amino)ethanol trimethylsilyl ether","72"
14.81,1866756687,"010497-05-9","Silanol, trimethyl-, phosphate (3:1)","93"
14.97,72946074,"006787-10-6","Glycerol, tris(trimethylsilyl) ether","93"
15.487,53672948,"007483-92-3","L-Isoleucine, N-(trimethylsilyl)-,trimethylsilyl ester","90"
15.817,165833402,"005630-82-0","Glycine, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","94"
16.046,21213461,"040309-57-7","Butanedioic acid, bis(trimethylsilyl) ester","98"
17.338,47975896,"064625-17-8","Serine, N,O-bis(trimethylsilyl)-,trimethylsilyl ester","91"
18.027,76668978,"007537-02-2","N,O,O-Tris(trimethylsilyl)-L-threonine","94"
21.191,45765267,"018547-29-0","Butane, 1,2,3,4-tetrakis[(trimethylsilyl)oxy]-","81"
21.575,28419866,"055268-53-6","L-Aspartic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester","99"
21.736,365806053,"213608-51-6","N,O-Bis-(trimethylsilyl)-2-pyrrolidone carboxylic acid","92"
22.48,25877650,"007364-50-3","L-Cysteine, N,S-bis(trimethylsilyl)-, trimethylsilyl ester","87"
22.693,253436100,"055012-82-3","2-Propenoic acid, 3-phenyl-, trimethylsilyl ester, (E)-","99"
23.983,142021602,"015985-07-6","Glutamic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester, L-","99"
25.323,33220520,"055649-62-2","L-Asparagine, N,N2-bis(trimethylsilyl)-, trimethylsilyl ester","99"
27.134,56674357,"031038-11-6","Phosphoric acid, bis(trimethylsilyl) 2,3-bis[(trimethylsilyl)oxy]propyl ester","95"
27.554,25392828,"010497-05-9","Silanol, trimethyl-, phosphate (3:1)","70"
28.298,37228107,"1000333-13-9","DL-Ornithine, N,N,N'-tris(trimethylsilyl)-, trimethylsilyl ester","99"
28.389,70769590,"014330-97-3","1,2,3-Propanetricarboxylic acid, 2-[(trimethylsilyl)oxy]-, tris(trimethylsilyl) ester","93"
29.269,169525745,"056196-14-6","D-Fructose, 1,3,4,5,6-pentakis-O-(trimethylsilyl)-, O-methyloxime","93"
29.507,117256927,"1000380-35-6","D-(-)-Fructose, pentakis(trimethylsilyl) ether, benzyloxime (isomer2)","91"
29.797,998961500,"128705-73-7","d-Glucose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1Z)-","91"
30.154,189912517,"120850-88-6","Galactose oxime hexakis(trimethylsilyl)","93"
30.439,118069358,"014317-07-8","D-Mannitol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-","91"
31.006,40092115,"007415-19-2","N,O,O'-Tris-(trimethylsilyl)tyrosine","91"
33.204,120421834,"055520-89-3","Hexadecanoic acid, trimethylsilylester","99"
33.513,423916744,"002582-79-8","Myo-Inositol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-","87"
36.353,59410029,"021556-26-3","Oleic acid, trimethylsilyl ester","99"
36.837,82203774,"018748-91-9","Octadecanoic acid, trimethylsilylester","99"
50.97,505213891,"001856-05-9","Cholesterol trimethylsilyl ether","99"
