"Ret.Time","Area","CAS","Compound","Quality"
6.226,19538294,"004325-85-3","Tris(trimethylsilyl)borate","81"
8.557,1572020494,"017596-96-2","Propanoic acid, 2-[(trimethylsilyl)oxy]-, trimethylsilyl ester","91"
9.793,299466340,"027844-07-1","l-Alanine, N-(trimethylsilyl)-, trimethylsilyl ester","96"
11.451,23624091,"000141-63-9","Pentasiloxane, dodecamethyl-","95"
13.18,51624412,"007364-44-5","L-Valine, N-(trimethylsilyl)-, trimethylsilyl ester","70"
14.859,1497673916,"010497-05-9","Silanol, trimethyl-, phosphate (3:1)","90"
14.979,87296238,"006787-10-6","Glycerol, tris(trimethylsilyl) ether","95"
15.497,75796744,"007483-92-3","L-Isoleucine, N-(trimethylsilyl)-,trimethylsilyl ester","90"
15.83,241831647,"005630-82-0","Glycine, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","91"
16.057,38972028,"040309-57-7","Butanedioic acid, bis(trimethylsilyl) ester","98"
17.346,62818943,"064625-17-8","Serine, N,O-bis(trimethylsilyl)-,trimethylsilyl ester","91"
18.034,102467762,"007537-02-2","N,O,O-Tris(trimethylsilyl)-L-threonine","91"
20.762,19548391,"038166-11-9","Butanedioic acid, [(trimethylsilyl)oxy]-, bis(trimethylsilyl) ester","98"
21.193,104043925,"018547-29-0","Butane, 1,2,3,4-tetrakis[(trimethylsilyl)oxy]-","90"
21.586,51980761,"055268-53-6","L-Aspartic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester","99"
21.759,652388399,"030274-77-2","L-Proline, 5-oxo-1-(trimethylsilyl)-, trimethylsilyl ester","95"
22.694,254306608,"055012-82-3","2-Propenoic acid, 3-phenyl-, trimethylsilyl ester, (E)-","99"
23.986,251910925,"015985-07-6","Glutamic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester, L-","99"
24.264,52718828,"002899-52-7","N,O-Bis-(trimethylsilyl)phenylalanine","91"
25.321,45982024,"055649-62-2","L-Asparagine, N,N2-bis(trimethylsilyl)-, trimethylsilyl ester","99"
27.134,90561959,"031038-11-6","Phosphoric acid, bis(trimethylsilyl) 2,3-bis[(trimethylsilyl)oxy]propyl ester","95"
27.556,39754913,"010497-05-9","Silanol, trimethyl-, phosphate (3:1)","92"
28.295,63818599,"055556-70-2","L-Ornithine, N2,N5,N5-tris(trimethylsilyl)-, trimethylsilyl ester","99"
28.392,144884989,"014330-97-3","1,2,3-Propanetricarboxylic acid, 2-[(trimethylsilyl)oxy]-, tris(trimethylsilyl) ester","93"
29.275,294857609,"056196-14-6","D-Fructose, 1,3,4,5,6-pentakis-O-(trimethylsilyl)-, O-methyloxime","94"
29.509,201100195,"1000380-35-6","D-(-)-Fructose, pentakis(trimethylsilyl) ether, benzyloxime (isomer2)","91"
29.815,1651110921,"130405-10-6","d-Glucose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1E)-","91"
30.164,324721780,"130405-10-6","d-Glucose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1E)-","91"
30.442,257951359,"014199-80-5","Trimethylsilyl ether of glucitol","91"
31,63099024,"051220-73-6","L-Tyrosine, N,O-bis(trimethylsilyl)-, trimethylsilyl ester","94"
31.799,10891798,"000084-74-2","Dibutyl phthalate","89"
33.205,144723392,"055520-89-3","Hexadecanoic acid, trimethylsilylester","99"
33.518,772910272,"002582-79-8","Myo-Inositol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-","87"
36.351,72722968,"096851-47-7","trans-9-Octadecenoic acid, trimethylsilyl ester","99"
36.841,92911708,"018748-91-9","Octadecanoic acid, trimethylsilylester","99"
39.132,12182460,"055568-91-7","D-Myo-Inositol, 1,2,4,5,6-pentakis-O-(trimethylsilyl)-, bis(trimethylsilyl) phosphate","91"
43.065,23608847,"1000380-38-6","D-Psicose, pentakis(trimethylsilyl) ether, trimethylsilyloxime (isomer 2)","91"
44.981,29477949,"032381-53-6","Ribitol, 1,2,3,4,5-pentakis-O-(trimethylsilyl)-","91"
45.256,38632760,"1000380-15-2","D-(+)-Arabitol, pentakis(trimethylsilyl) ether","91"
50.976,720509506,"001856-05-9","Cholesterol trimethylsilyl ether","99"
