"Ret.Time","Area","CAS","Compound","Quality"
6.318,18846021,"004325-85-3","Tris(trimethylsilyl)borate","94"
8.678,1065671407,"017596-96-2","Propanoic acid, 2-[(trimethylsilyl)oxy]-, trimethylsilyl ester","91"
9.895,281366042,"027844-07-1","l-Alanine, N-(trimethylsilyl)-, trimethylsilyl ester","97"
13.239,53223414,"1000373-29-6","2-(N-Isopropyl-N-(trimethylsilyl)amino)ethanol trimethylsilyl ether","72"
14.798,241692240,"018297-63-7","Urea, N,N'-bis(trimethylsilyl)-","90"
14.917,2047166055,"010497-05-9","Silanol, trimethyl-, phosphate (3:1)","89"
15.007,43896014,"006787-10-6","Glycerol, tris(trimethylsilyl) ether","93"
15.534,91428840,"007483-92-3","L-Isoleucine, N-(trimethylsilyl)-,trimethylsilyl ester","90"
15.669,269404886,"007364-47-8","L-Proline, 1-(trimethylsilyl)-, trimethylsilyl ester","96"
15.867,399623092,"005630-82-0","Glycine, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","93"
16.086,37060917,"040309-57-7","Butanedioic acid, bis(trimethylsilyl) ester","98"
17.368,71204244,"064625-17-8","Serine, N,O-bis(trimethylsilyl)-,trimethylsilyl ester","91"
18.055,135039517,"007537-02-2","N,O,O-Tris(trimethylsilyl)-L-threonine","91"
21.201,79588876,"018547-29-0","Butane, 1,2,3,4-tetrakis[(trimethylsilyl)oxy]-","87"
21.589,38380965,"055268-53-6","L-Aspartic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester","99"
21.76,557693202,"213608-51-6","N,O-Bis-(trimethylsilyl)-2-pyrrolidone carboxylic acid","93"
22.486,34175443,"007364-50-3","L-Cysteine, N,S-bis(trimethylsilyl)-, trimethylsilyl ester","87"
22.7,224626489,"055012-82-3","2-Propenoic acid, 3-phenyl-, trimethylsilyl ester, (E)-","99"
23.707,66255211,"1000333-25-8","L-Asparagine, N2-trimethylsilyl-,trimethylsilyl ester","87"
23.992,235971271,"015985-07-6","Glutamic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester, L-","99"
24.276,34650301,"002899-52-7","N,O-Bis-(trimethylsilyl)phenylalanine","91"
25.328,52807559,"055649-62-2","L-Asparagine, N,N2-bis(trimethylsilyl)-, trimethylsilyl ester","99"
26.987,24063505,"1000333-14-1","DL-Ornithine,N',N'-bis(trimethylsilyl)-, trimethylsilyl ester","99"
27.162,99129426,"031038-11-6","Phosphoric acid, bis(trimethylsilyl) 2,3-bis[(trimethylsilyl)oxy]propyl ester","95"
28.305,41610857,"055556-70-2","L-Ornithine, N2,N5,N5-tris(trimethylsilyl)-, trimethylsilyl ester","99"
28.393,103323837,"014330-97-3","1,2,3-Propanetricarboxylic acid, 2-[(trimethylsilyl)oxy]-, tris(trimethylsilyl) ester","91"
29.277,333107080,"056196-14-6","D-Fructose, 1,3,4,5,6-pentakis-O-(trimethylsilyl)-, O-methyloxime","94"
29.512,224087061,"1000380-17-5","L-(-)-Sorbose, pentakis(trimethylsilyl) ether, methyloxime (syn)","91"
29.82,1806815953,"1000380-18-7","D-(+)-Talose, pentakis(trimethylsilyl) ether, methyloxime (syn)","91"
30.164,410102235,"130405-10-6","d-Glucose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1E)-","91"
30.441,178686716,"014199-80-5","Trimethylsilyl ether of glucitol","92"
31.003,39441159,"051220-73-6","L-Tyrosine, N,O-bis(trimethylsilyl)-, trimethylsilyl ester","94"
31.804,14658068,"000084-74-2","Dibutyl phthalate","89"
33.214,243293869,"055520-89-3","Hexadecanoic acid, trimethylsilylester","99"
33.523,894546767,"002582-79-8","Myo-Inositol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-","87"
36.358,73081605,"021556-26-3","Oleic acid, trimethylsilyl ester","99"
36.848,201940948,"018748-91-9","Octadecanoic acid, trimethylsilylester","99"
39.229,17115453,"000301-02-0","9-Octadecenamide, (Z)-","96"
50.978,576602594,"001856-05-9","Cholesterol trimethylsilyl ether","99"
