"Ret.Time","Area","CAS","Compound","Quality"
6.339,23532526,"004325-85-3","Tris(trimethylsilyl)borate","70"
8.693,1770180889,"017596-96-2","Propanoic acid, 2-[(trimethylsilyl)oxy]-, trimethylsilyl ester","91"
9.863,222224120,"027844-07-1","l-Alanine, N-(trimethylsilyl)-, trimethylsilyl ester","91"
13.234,70382191,"007364-44-5","L-Valine, N-(trimethylsilyl)-, trimethylsilyl ester","70"
14.886,402727211,"018297-63-7","Urea, N,N'-bis(trimethylsilyl)-","91"
15.028,2568689243,"010497-05-9","Silanol, trimethyl-, phosphate (3:1)","72"
15.259,63554774,"010497-05-9","Silanol, trimethyl-, phosphate (3:1)","98"
15.536,142732719,"007483-92-3","L-Isoleucine, N-(trimethylsilyl)-,trimethylsilyl ester","90"
15.675,447806633,"007364-47-8","L-Proline, 1-(trimethylsilyl)-, trimethylsilyl ester","92"
15.873,611399930,"005630-82-0","Glycine, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","94"
16.09,47114154,"040309-57-7","Butanedioic acid, bis(trimethylsilyl) ester","98"
18.055,208748884,"007537-02-2","N,O,O-Tris(trimethylsilyl)-L-threonine","91"
20.299,56756325,"1000079-52-5","Aminomalonic acid, tris(trimethylsilyl)-","90"
20.484,52367164,"070125-41-6","Trimethylsiloxy(trimethylsilyl)proline","90"
21.201,95363334,"018547-29-0","Butane, 1,2,3,4-tetrakis[(trimethylsilyl)oxy]-","94"
21.605,42352932,"055268-53-6","L-Aspartic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester","99"
21.799,804334832,"030274-77-2","L-Proline, 5-oxo-1-(trimethylsilyl)-, trimethylsilyl ester","95"
22.497,49663274,"007364-50-3","L-Cysteine, N,S-bis(trimethylsilyl)-, trimethylsilyl ester","87"
22.714,361023576,"055012-82-3","2-Propenoic acid, 3-phenyl-, trimethylsilyl ester, (E)-","99"
23.737,91434759,"1000333-25-8","L-Asparagine, N2-trimethylsilyl-,trimethylsilyl ester","87"
24.002,253865588,"015985-07-6","Glutamic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester, L-","99"
24.28,50786590,"002899-52-7","N,O-Bis-(trimethylsilyl)phenylalanine","91"
25.332,33642770,"055649-62-2","L-Asparagine, N,N2-bis(trimethylsilyl)-, trimethylsilyl ester","99"
26.999,36342898,"1000333-14-1","DL-Ornithine,N',N'-bis(trimethylsilyl)-, trimethylsilyl ester","99"
27.209,163176554,"031038-11-6","Phosphoric acid, bis(trimethylsilyl) 2,3-bis[(trimethylsilyl)oxy]propyl ester","95"
28.402,169478883,"014330-97-3","1,2,3-Propanetricarboxylic acid, 2-[(trimethylsilyl)oxy]-, tris(trimethylsilyl) ester","93"
28.835,22440085,"1000380-18-3","D-(+)-Xylose, tetrakis(trimethylsilyl) ether, methyloxime (anti)","90"
29.28,352084242,"056196-14-6","D-Fructose, 1,3,4,5,6-pentakis-O-(trimethylsilyl)-, O-methyloxime","94"
29.516,263703432,"1000380-17-9","D-(-)-Tagatose, pentakis(trimethylsilyl) ether, methyloxime (syn)","91"
29.824,2007704856,"128705-67-9","d-Mannose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1Z)-","91"
30.17,524319876,"130405-10-6","d-Glucose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1E)-","91"
30.446,301107359,"014317-07-8","D-Mannitol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-","91"
30.551,143299590,"014317-07-8","D-Mannitol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-","81"
31.807,14825866,"017851-53-5","1,2-Benzenedicarboxylic acid, butyl 2-methylpropyl ester","86"
33.216,116233053,"055520-89-3","Hexadecanoic acid, trimethylsilylester","99"
33.531,1334025191,"002582-79-8","Myo-Inositol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-","87"
36.364,77306670,"021556-26-3","Oleic acid, trimethylsilyl ester","99"
36.847,84259290,"018748-91-9","Octadecanoic acid, trimethylsilylester","99"
39.242,16934579,"000301-02-0","9-Octadecenamide, (Z)-","97"
44.985,19199599,"1000380-12-1","D-Psicose, pentakis(trimethylsilyl) ether","87"
45.269,35537207,"000035-23-4","Dulcitol, hexakis(trimethylsilyl)ether","90"
50.987,737168936,"001856-05-9","Cholesterol trimethylsilyl ether","99"
