"Ret.Time","Area","CAS","Compound","Quality"
8.554,788657843,"017596-96-2","Propanoic acid, 2-[(trimethylsilyl)oxy]-, trimethylsilyl ester","91"
9.8,149220528,"027844-07-1","l-Alanine, N-(trimethylsilyl)-, trimethylsilyl ester","96"
11.455,23579288,"000141-63-9","Pentasiloxane, dodecamethyl-","95"
13.182,30644842,"1000373-29-6","2-(N-Isopropyl-N-(trimethylsilyl)amino)ethanol trimethylsilyl ether","72"
14.82,2239126674,"010497-05-9","Silanol, trimethyl-, phosphate (3:1)","90"
14.973,68171576,"006787-10-6","Glycerol, tris(trimethylsilyl) ether","93"
15.489,51343955,"007483-92-3","L-Isoleucine, N-(trimethylsilyl)-,trimethylsilyl ester","90"
15.623,121556096,"007364-47-8","L-Proline, 1-(trimethylsilyl)-, trimethylsilyl ester","96"
15.82,171371929,"005630-82-0","Glycine, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","94"
16.049,25925534,"040309-57-7","Butanedioic acid, bis(trimethylsilyl) ester","98"
18.026,69015447,"007537-02-2","N,O,O-Tris(trimethylsilyl)-L-threonine","92"
21.189,60323908,"018547-29-0","Butane, 1,2,3,4-tetrakis[(trimethylsilyl)oxy]-","90"
21.577,36997322,"055268-53-6","L-Aspartic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester","99"
21.746,409728193,"030274-77-2","L-Proline, 5-oxo-1-(trimethylsilyl)-, trimethylsilyl ester","95"
22.477,26259389,"1000153-02-1","Cytein, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","83"
22.692,258317342,"055012-82-3","2-Propenoic acid, 3-phenyl-, trimethylsilyl ester, (E)-","99"
23.982,157625142,"015985-07-6","Glutamic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester, L-","99"
25.32,38629658,"055649-62-2","L-Asparagine, N,N2-bis(trimethylsilyl)-, trimethylsilyl ester","99"
27.13,34876388,"031038-11-6","Phosphoric acid, bis(trimethylsilyl) 2,3-bis[(trimethylsilyl)oxy]propyl ester","94"
27.552,22463749,"010497-05-9","Silanol, trimethyl-, phosphate (3:1)","93"
28.296,52275835,"1000333-13-9","DL-Ornithine, N,N,N'-tris(trimethylsilyl)-, trimethylsilyl ester","99"
28.388,96090617,"014330-97-3","1,2,3-Propanetricarboxylic acid, 2-[(trimethylsilyl)oxy]-, tris(trimethylsilyl) ester","94"
29.272,214917877,"056196-14-6","D-Fructose, 1,3,4,5,6-pentakis-O-(trimethylsilyl)-, O-methyloxime","94"
29.507,150197457,"1000380-17-9","D-(-)-Tagatose, pentakis(trimethylsilyl) ether, methyloxime (syn)","91"
29.808,1383470006,"128705-73-7","d-Glucose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1Z)-","91"
30.159,256955744,"128705-67-9","d-Mannose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1Z)-","91"
30.441,153485857,"014317-07-8","D-Mannitol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-","91"
31.003,36548226,"051220-73-6","L-Tyrosine, N,O-bis(trimethylsilyl)-, trimethylsilyl ester","94"
31.797,19837405,"006736-94-3","D-Galactose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-","70"
33.206,116125871,"055520-89-3","Hexadecanoic acid, trimethylsilylester","99"
33.512,469244668,"002582-79-8","Myo-Inositol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-","87"
34.779,101606673,"005630-82-0","Glycine, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","70"
36.351,48116692,"021556-26-3","Oleic acid, trimethylsilyl ester","99"
36.837,91521376,"018748-91-9","Octadecanoic acid, trimethylsilylester","99"
39.863,12465171,"1000308-88-0","Oleamide, N-trimethylsilyl-","90"
43.066,35781500,"1000380-18-2","DL-Arabinose, tetrakis(trimethylsilyl) ether, methyloxime","87"
44.984,16403862,"1000141-49-4","Xylulose tetrakis(trimethylsilyl)-","90"
50.956,368711081,"001856-05-9","Cholesterol trimethylsilyl ether","99"
