"Ret.Time","Area","CAS","Compound","Quality"
6.292,29015284,"004325-85-3","Tris(trimethylsilyl)borate","93"
8.575,820068067,"017596-96-2","Propanoic acid, 2-[(trimethylsilyl)oxy]-, trimethylsilyl ester","91"
9.815,148992876,"027844-07-1","l-Alanine, N-(trimethylsilyl)-, trimethylsilyl ester","96"
11.465,26700423,"000141-63-9","Pentasiloxane, dodecamethyl-","95"
13.188,30081705,"007364-44-5","L-Valine, N-(trimethylsilyl)-, trimethylsilyl ester","95"
14.825,2246161421,"010497-05-9","Silanol, trimethyl-, phosphate (3:1)","90"
14.978,66342359,"006787-10-6","Glycerol, tris(trimethylsilyl) ether","93"
15.492,51406453,"007483-92-3","L-Isoleucine, N-(trimethylsilyl)-,trimethylsilyl ester","90"
15.625,118524302,"007364-47-8","L-Proline, 1-(trimethylsilyl)-, trimethylsilyl ester","92"
15.823,174966693,"005630-82-0","Glycine, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","91"
16.052,26856022,"040309-57-7","Butanedioic acid, bis(trimethylsilyl) ester","98"
18.027,59197076,"007537-02-2","N,O,O-Tris(trimethylsilyl)-L-threonine","94"
21.191,57373055,"018547-29-0","Butane, 1,2,3,4-tetrakis[(trimethylsilyl)oxy]-","93"
21.575,33083722,"055268-53-6","L-Aspartic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester","99"
21.744,397341686,"030274-77-2","L-Proline, 5-oxo-1-(trimethylsilyl)-, trimethylsilyl ester","95"
22.478,24636606,"1000153-02-1","Cytein, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","87"
22.693,247609777,"055012-82-3","2-Propenoic acid, 3-phenyl-, trimethylsilyl ester, (E)-","99"
23.983,154200569,"015985-07-6","Glutamic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester, L-","99"
25.322,33938316,"055649-62-2","L-Asparagine, N,N2-bis(trimethylsilyl)-, trimethylsilyl ester","99"
27.128,27035885,"031038-11-6","Phosphoric acid, bis(trimethylsilyl) 2,3-bis[(trimethylsilyl)oxy]propyl ester","95"
28.299,59114678,"1000333-13-9","DL-Ornithine, N,N,N'-tris(trimethylsilyl)-, trimethylsilyl ester","99"
28.39,87351209,"014330-97-3","1,2,3-Propanetricarboxylic acid, 2-[(trimethylsilyl)oxy]-, tris(trimethylsilyl) ester","93"
29.271,252501658,"056196-14-6","D-Fructose, 1,3,4,5,6-pentakis-O-(trimethylsilyl)-, O-methyloxime","94"
29.508,178030272,"1000380-38-8","D-(+)-Xylose, tetrakis(trimethylsilyl) ether, trimethylsilyloxime (isomer 1)","90"
29.813,1544116758,"128705-61-3","d-Mannose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1E)-","91"
30.159,282708872,"130405-10-6","d-Glucose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1E)-","91"
30.442,172968644,"014317-07-8","D-Mannitol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-","91"
30.999,36619230,"051220-73-6","L-Tyrosine, N,O-bis(trimethylsilyl)-, trimethylsilyl ester","94"
31.796,15129220,"056192-85-9","Talose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-","90"
33.202,109143260,"055520-89-3","Hexadecanoic acid, trimethylsilylester","99"
33.512,463938399,"002582-79-8","Myo-Inositol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-","91"
36.343,67178240,"021556-26-3","Oleic acid, trimethylsilyl ester","99"
36.833,88222198,"018748-91-9","Octadecanoic acid, trimethylsilylester","99"
39.861,15093169,"1000308-88-0","Oleamide, N-trimethylsilyl-","90"
43.06,3587482,"1000380-38-2","D-(-)-Fructose, pentakis(trimethylsilyl) ether, trimethylsilyloxime(isomer 2)","81"
50.95,287639862,"001856-05-9","Cholesterol trimethylsilyl ether","99"
