"Ret.Time","Area","CAS","Compound","Quality"
8.577,1602121677,"017596-96-2","Propanoic acid, 2-[(trimethylsilyl)oxy]-, trimethylsilyl ester","91"
9.8,267429486,"027844-07-1","l-Alanine, N-(trimethylsilyl)-, trimethylsilyl ester","96"
10.411,42652321,"007364-42-3","Glycine, N-(trimethylsilyl)-, trimethylsilyl ester","93"
11.456,28088940,"000141-63-9","Pentasiloxane, dodecamethyl-","95"
13.185,44978584,"007364-44-5","L-Valine, N-(trimethylsilyl)-, trimethylsilyl ester","70"
14.861,3308215326,"010497-05-9","Silanol, trimethyl-, phosphate (3:1)","70"
14.981,96716361,"006787-10-6","Glycerol, tris(trimethylsilyl) ether","91"
15.501,75819923,"007483-92-3","L-Isoleucine, N-(trimethylsilyl)-,trimethylsilyl ester","90"
15.634,204408822,"007364-47-8","L-Proline, 1-(trimethylsilyl)-, trimethylsilyl ester","96"
15.834,283764607,"005630-82-0","Glycine, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","94"
16.059,34817542,"040309-57-7","Butanedioic acid, bis(trimethylsilyl) ester","98"
17.345,46710183,"064625-17-8","Serine, N,O-bis(trimethylsilyl)-,trimethylsilyl ester","91"
18.036,118560022,"007537-02-2","N,O,O-Tris(trimethylsilyl)-L-threonine","91"
21.193,93410028,"018547-29-0","Butane, 1,2,3,4-tetrakis[(trimethylsilyl)oxy]-","87"
21.587,62305286,"055268-53-6","L-Aspartic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester","99"
21.766,686316068,"030274-77-2","L-Proline, 5-oxo-1-(trimethylsilyl)-, trimethylsilyl ester","98"
22.481,42653973,"1000153-02-1","Cytein, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","86"
22.696,299845159,"055012-82-3","2-Propenoic acid, 3-phenyl-, trimethylsilyl ester, (E)-","99"
23.692,31395751,"1000333-25-8","L-Asparagine, N2-trimethylsilyl-,trimethylsilyl ester","96"
23.988,255850709,"015985-07-6","Glutamic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester, L-","99"
24.266,42617346,"002899-52-7","N,O-Bis-(trimethylsilyl)phenylalanine","91"
25.325,72120369,"055649-62-2","L-Asparagine, N,N2-bis(trimethylsilyl)-, trimethylsilyl ester","99"
27.131,65667473,"031038-11-6","Phosphoric acid, bis(trimethylsilyl) 2,3-bis[(trimethylsilyl)oxy]propyl ester","95"
27.554,36888149,"010497-05-9","Silanol, trimethyl-, phosphate (3:1)","92"
28.295,61119384,"055556-70-2","L-Ornithine, N2,N5,N5-tris(trimethylsilyl)-, trimethylsilyl ester","99"
28.392,173927404,"014330-97-3","1,2,3-Propanetricarboxylic acid, 2-[(trimethylsilyl)oxy]-, tris(trimethylsilyl) ester","93"
29.274,253077795,"056196-14-6","D-Fructose, 1,3,4,5,6-pentakis-O-(trimethylsilyl)-, O-methyloxime","93"
29.509,180716998,"1000380-17-5","L-(-)-Sorbose, pentakis(trimethylsilyl) ether, methyloxime (syn)","91"
29.815,1671402045,"128705-61-3","d-Mannose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1E)-","91"
30.162,364509732,"128705-67-9","d-Mannose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1Z)-","91"
30.443,232018468,"014199-80-5","Trimethylsilyl ether of glucitol","91"
31.002,57301365,"051220-73-6","L-Tyrosine, N,O-bis(trimethylsilyl)-, trimethylsilyl ester","91"
31.289,40609986,"1000380-11-7","D-(-)-Ribofuranose, tetrakis(trimethylsilyl) ether (isomer 2)","74"
33.202,110301984,"055520-89-3","Hexadecanoic acid, trimethylsilylester","99"
33.516,739918039,"002582-79-8","Myo-Inositol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-","87"
35.285,44179256,"020997-50-6","Thiocyanic acid, 5.alpha.-cholestan-3.beta.-yl ester","90"
36.352,54110137,"021556-26-3","Oleic acid, trimethylsilyl ester","99"
36.837,81421450,"018748-91-9","Octadecanoic acid, trimethylsilylester","99"
39.136,11794370,"033910-06-4","Myo-Inositol, 1,3,4,5,6-pentakis-O-(trimethylsilyl)-, bis(trimethylsilyl) phosphate","87"
43.064,58971029,"032381-53-6","Ribitol, 1,2,3,4,5-pentakis-O-(trimethylsilyl)-","86"
43.134,24309448,"1000380-36-9","D-Psicose, pentakis(trimethylsilyl) ether, benzyloxime (isomer 2)","91"
44.985,31131908,"032381-53-6","Ribitol, 1,2,3,4,5-pentakis-O-(trimethylsilyl)-","90"
45.262,40984099,"1000332-00-2","4-Chloro-N-(4-chloro-2-phenoxyphenyl)benzenesulfonamide tms","92"
50.963,464235638,"001856-05-9","Cholesterol trimethylsilyl ether","99"
